Canonical_Source,Canonical_Provenance_URI,Origin_Lists,Alias_Names,Consolidated_Disposition,Disposition_Code,Disposition_Rationale,Best_Current_License,Best_Current_Commercial_Safe,Best_Current_Attribution_Required,Observed_License_Claims,Observed_Commercial_Safe_Claims,Observed_Attribution_Claims,Merged_Notes
DOAB (Directory of Open Access Books),https://www.doabooks.org/en/resources/metadata-harvesting-and-content-dissemination,gemini_vetted,DOAB (Directory of Open Access Books),promote,verified_cc0_metadata,Keep; DOAB metadata feeds are explicitly CC0.,CC0 (metadata),Yes,No,CC0 (Metadata),Yes,No,Global aggregator of peer-reviewed open access books; highly structured metadata useful for discovering academic and open-science book awards.
Digital Public Library of America (DPLA),https://dp.la/info/developers,deepseek;gemini_vetted,Digital Public Library of America (DPLA),promote,verified_cc0,Keep; DPLA metadata policy dedicates metadata to CC0/public domain.,CC0,Yes,No,CC0,Yes,No,"A US national digital library that aggregates metadata from many institutions, with linked data potential. || Aggregates millions of records from US libraries; excellent REST API for tracking regional American literary and historical society awards."
Europeana API,https://pro.europeana.eu/page/apis,deepseek;gemini_vetted,Europeana API | Europeana Linked Open Data,promote,verified_cc0_with_requested_credit,"Keep; Europeana metadata is CC0, but credit to providers/aggregators is strongly requested.",CC0 (metadata),Yes,Requested/Best practice,CC0,Yes,No,"A vast cultural heritage aggregator. Its dataset includes millions of digital objects, many of which are books and may contain award-related metadata. || Aggregates metadata from thousands of European cultural institutions. All metadata is CC0, though linked digital objects vary."
HathiTrust Bibliographic API,https://www.hathitrust.org/bib_api,deepseek;gemini_vetted,HathiTrust Bibliographic API | HathiTrust Digital Library,promote,verified_cc0_with_requested_credit,"Keep; HathiTrust metadata is shared under CC0, but attribution is requested as community norm.",CC0,Yes,Requested/Best practice,CC0 | Unclear,Likely | Yes,Likely | No,"A large-scale collaborative repository of digital content from research libraries, with linked data capabilities. || Access to brief bibliographic records for millions of digitized volumes; useful for cross-referencing historic prize discovery."
IdRef (ABES France),https://www.idref.fr,deepseek;gemini_vetted,IdRef (ABES France) | IdRef (France),promote,verified_etalab,Keep; official IdRef says open reuse under Etalab and exposes triple store/OAI-PMH/APIs.,Etalab Open License,Yes,Yes,Etalab Open License,Yes,Yes,A major authority hub for French higher education and research. Its data is used in projects linking authors and their awards. || Francophone higher education authority file; an excellent complement to BnF for academic and scholarly awards.
LIBRIS Sweden,https://libris.kb.se,deepseek;gemini_vetted,LIBRIS (National Library of Sweden) | LIBRIS Sweden,promote,verified_cc0,Keep; official Libris docs say national bibliography and authority records are CC0.,CC0,Yes,No,CC0 | Unclear,Likely | Yes,Likely | No,"Pioneering library LOD; definitive source for Nordic prizes and comprehensive Nobel metadata. || The Swedish union catalog, which is transitioning to BIBFRAME-based linked data. It is a key source for Swedish publications and their associated awards."
National Library of New Zealand API,https://natlib.govt.nz/about-us/open-data,gemini_vetted,National Library of New Zealand API,promote,verified_dataset_specific_cc_by,"Keep as dataset-family entry, not a blanket source row; Publications NZ metadata is CC BY with attribution.",CC BY 3.0 NZ (Publications NZ metadata),Yes,Yes,CC BY,Yes,Yes,"Rich source for discovering Oceania, Māori, and Pacific literary awards; exposes metadata in structured formats."
Open Library,https://openlibrary.org/developers/api,deepseek;gemini_vetted,Open Library | Open Library (Award Data),promote,verified_cc0,"Keep; rewrite licence to CC0 per Open Library FAQ, not generic 'Public Domain'.",CC0,Yes,No,CC0 / ODC-By (Mixed) | Public Domain,Yes,No | No (for CC0),"Contains award data parsed from MARC records; strong for Anglosphere trade books and market discovery. || While not purely a linked data endpoint, Open Library's data dumps and APIs contain extensive award information for books. It is a major source for connecting works to awards like the Booker Prize."
OpenAIRE Graph,https://graph.openaire.eu,gemini_vetted,OpenAIRE Graph,promote,verified_cc_by_secondary,"Keep as secondary scholarly graph; CC-BY reuse with acknowledgement, not a direct prize registry.",CC-BY,Yes,Yes,CC BY,Yes,Yes,Massive open access European scholarly graph; highly effective for scraping structural data on academic monograph prizes and subsidized publication awards.
VIAF (Virtual International Authority File),https://viaf.org,deepseek;gemini_vetted,VIAF (Virtual International Authority File),promote,verified_odc_by,Keep; VIAF under ODC-By with attribution guidance; use mainly as identity bridge.,ODC-By,Yes,Yes,ODC-By,Yes,Yes,"An international authority file that aggregates authority data from many national libraries, crucial for linking authors and works to awards. || Essential for cross-walking national authority records; clusters representations of literary prizes and laureates globally."
